번호,날짜,영화제목,관객수,개봉일
392,2021-02-24,디지몬 어드벤처 : 라스트 에볼루션 인연,130,2021-02-17
393,2021-02-24,부에노스 아이레스 제로 디그리,114,1111-11-11
394,2021-02-24,페어웰,110,2021-02-04
395,2021-02-24,UFO 스케치,99,2021-03-04
396,2021-02-24,라이브 하드,99,2021-02-25
397,2021-02-24,비포 미드나잇,94,2013-05-22
398,2021-02-24,간이역,91,2021-02-18
399,2021-02-24,드림빌더,88,2021-02-10
400,2021-02-24,몬스터 헌터,85,2021-02-10
401,2021-02-24,동사서독 리덕스,83,2013-12-05
402,2021-02-24,더블패티,79,2021-02-17
403,2021-02-24,살아남은 사람들,66,2021-02-10
404,2021-02-24,더 울프 오브 월스트리트,66,2014-01-09
405,2021-02-24,마리오네트,62,2021-02-17
406,2021-02-24,호라이즌 라인,62,2021-02-10
407,2021-02-24,아홉수 로맨스,54,2021-02-24
408,2021-02-24,이다,52,2015-02-18
409,2021-02-24,더 프롬,52,2020-12-02
410,2021-02-24,서바이브 더 나잇,49,2021-02-03
411,2021-02-24,시간의 끝에서 널 기다려,48,2021-02-17
412,2021-02-24,힐빌리의 노래,47,2020-11-11
413,2021-02-24,일대종사,46,2013-08-22
414,2021-02-24,애천,44,1111-11-11
415,2021-02-24,우정어린 설복,39,1111-11-11
416,2021-02-24,스포트라이트,35,2016-02-24
417,2021-02-24,맨체스터 바이 더 씨,34,2017-02-15
418,2021-02-24,여섯번째의 행복,32,1111-11-11
419,2021-02-24,아웃 원,31,1111-11-11
420,2021-02-24,온워드: 단 하루의 기적,31,2020-06-17
421,2021-02-24,캐롤,30,2016-02-04
422,2021-02-24,부활: 그 증거,30,2020-10-08
423,2021-02-24,엘프,28,2021-02-10
424,2021-02-24,극장판 바이올렛 에버가든,27,2020-11-12
425,2021-02-24,하비,22,1111-11-11
426,2021-02-24,문라이트,19,2017-02-22
427,2021-02-24,본 투 비 블루,18,2016-06-09
428,2021-02-24,BBC프롬스: 아르헤리치와 바렌보임 콘서트,18,2021-02-02
429,2021-02-24,버팔로 대대,17,1111-11-11
430,2021-02-24,하나와 앨리스,16,2004-11-17
431,2021-02-24,더 파더,16,2021-04-07
432,2021-02-24,날씨의 아이,15,2019-10-30
433,2021-02-24,초속5센티미터,14,2007-06-21
434,2021-02-24,원 챈스,13,2014-03-13
435,2021-02-24,릴리 슈슈의 모든 것,13,2005-06-23
436,2021-02-24,이태리식 결혼,13,1111-11-11
437,2021-02-24,중경삼림,12,1995-09-02
438,2021-02-24,음악,12,2021-07-14
439,2021-02-24,현기증,11,1111-11-11
440,2021-02-24,극장판 기븐,11,2020-11-26
441,2021-02-24,인투 더 미러,10,2021-02-17
442,2021-02-24,칙 파이트,10,2021-02-04
443,2021-02-24,남매의 여름밤,9,2020-08-20
444,2021-02-24,나는 나를 해고하지 않는다,9,2021-01-28
445,2021-02-24,서유기 선리기연,9,1111-11-11
446,2021-02-24,너의 췌장을 먹고 싶어,9,2017-10-25
447,2021-02-24,일론 머스크: 리얼 아이언맨,8,2021-02-11
448,2021-02-24,용루각2: 신들의 밤,8,2021-02-10
449,2021-02-24,맹크,8,2020-11-18
450,2021-02-24,너의 췌장을 먹고 싶어,7,2018-11-15
451,2021-02-24,서유기 월광보합 ,7,1995-09-16
452,2021-02-24,메리 고 라운드 ,7,1111-11-11
453,2021-02-24,러브X독 ,7,2021-06-16
454,2021-02-24,우리는 매일매일,7,2021-06-30
455,2021-02-24,겨울밤에,6,2020-12-10
456,2021-02-24,관계의 가나다에 있는 우리는,6,2021-01-28
457,2021-02-24,오아시스 세탁소,5,2018-05-09
458,2021-02-24,운디네,5,2020-12-24
459,2021-02-24,만추,5,2011-02-17
460,2021-02-24,운명,4,1111-11-11
461,2021-02-24,스트레스 제로,3,2021-02-03
462,2021-02-24,파힘,3,2021-01-21
463,2021-02-24,그레이트 뷰티,3,2014-06-12
464,2021-02-24,2월 수요단편극장-인디스토리 쇼케이스: 경계 너머의 관계,3,1111-11-11
465,2021-02-24,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,2,2020-11-12
466,2021-02-24,호프,2,2020-12-17
467,2021-02-24,내겐 너무 어려운 연애,2,2021-02-04
468,2021-02-24,"오늘, 우리 2",2,2021-01-21
469,2021-02-24,북스마트,2,2021-01-27
470,2021-02-24,타오르는 여인의 초상,2,2020-01-16
471,2021-02-24,천사는 바이러스,2,2021-01-06
472,2021-02-24,서울야행,2,2016-05-05
473,2021-02-24,요요현상,2,2021-01-14
474,2021-02-24,라스트 특공대,2,2021-02-18
475,2021-02-24,풍요시대 빈곤지대(인디스데이),1,1111-11-11
476,2021-02-24,뱀파이어,1,1111-11-11
477,2021-02-24,스와핑 : 어린커플,1,2021-02-24
478,2021-02-24,스푸트닉,1,2021-02-04
479,2021-02-24,용주골 2 - 무삭제판,1,2021-02-24
480,2021-02-24,야근: 여과장의 사생활,1,2021-02-24
481,2021-02-24,자매바이러스,1,2021-02-24
482,2021-02-24,귀여운 남자,1,2021-01-14
483,2021-02-24,블라인드,0,2021-01-14
484,2021-02-25,극장판 귀멸의 칼날: 무한열차편,18121,2021-01-27
485,2021-02-25,미션 파서블,13255,2021-02-17
486,2021-02-25,카오스 워킹,12715,2021-02-24
487,2021-02-25,소울,11573,2021-01-20
488,2021-02-25,톰과 제리,11103,2021-02-24
489,2021-02-25,고백,2886,2021-02-24
490,2021-02-25,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,1869,2021-02-25
491,2021-02-25,워 위드 그랜파,1546,2021-02-24
492,2021-02-25,더 레이서,1478,2021-02-24
493,2021-02-25,퍼펙트 케어,1080,2021-02-19
494,2021-02-25,라스트 레터,904,2021-02-24
495,2021-02-25,조제,709,2020-12-10
496,2021-02-25,프라미싱 영 우먼,701,2021-02-24
497,2021-02-25,잃어버린 얼굴 1895,701,2021-02-24
498,2021-02-25,해리 포터와 불의 잔,697,2005-12-01
499,2021-02-25,리틀드래곤 코코넛2: 정글대탐험,513,2021-02-24
500,2021-02-25,엽기적인 그녀,330,2001-07-26
501,2021-02-25,멀리가지마라,329,2021-03-04
502,2021-02-25,이웃사촌,273,2020-11-25
503,2021-02-25,새해전야,227,2021-02-10
504,2021-02-25,해피 투게더,206,1998-08-22
505,2021-02-25,빛과 철,204,2021-02-18
